cfm,accuracy,precision,recall,f1
"[[0 0 2 0]
 [0 0 0 0]
 [0 0 1 0]
 [0 0 3 0]]",0.16666666666666666,0.027777777777777776,0.16666666666666666,0.047619047619047616
"[[2 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [3 0 0 0]]",0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
"[[2 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [3 0 0 0]]",0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
"[[2 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [3 0 0 0]]",0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
"[[2 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [3 0 0 0]]",0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
"[[2 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [3 0 0 0]]",0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
"[[2 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [3 0 0 0]]",0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
"[[2 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [3 0 0 0]]",0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
"[[2 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [3 0 0 0]]",0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
"[[2 0 0 0]
 [0 0 0 0]
 [1 0 0 0]
 [3 0 0 0]]",0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
